Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
kisi,kìsî,[kìsî],my pot,mi olla,LF,CVCV,modal,noun,"food, drink, and cooking",LA,LA_MiOlla.wav,Said,,
kisia,kìsià,[kìsʲà],their pot,su olla,LLM,CVCV,modal,noun,"food, drink, and cooking",LA,LA_SuOlla.wav,Said,,
kisie,kìsiě,[kìsʲě],our pot,nuestra olla,LR,CVCV,modal,noun,"food, drink, and cooking",LA,LA_NuestraOlla.wav,Said,,
kisiun,kìsiǔn,[kìsʲũ̌],your pot,tu olla,LR,CVCV,modal,noun,"food, drink, and cooking",LA,LA_TuOlla.wav,Said,,
kita'a,kítá'ǎ,[kítáˀǎ],accompanies,acompaña,HHR,CVCV?V,glottalized,verb,Actions and activities,,acompaña.wav,,"Yes, revise",Verb Tense
kita'an,kìtǎ'àn,[kìtǎˀa᷈̀],gather/join together (completive),reunir (completive),LRL,CVCV?V,glottalized,verb (completive),Actions and activities,,,,,
kita'an,kítá'an,[kítáˀã],gather/join together (continuative),reunir (continuative),HHM,CVCV?V,glottalized,verb (continuative),Actions and activities,,,,,
kita'an,kitá'an,[kitáˀa᷈],gather/join together (potential),reunir (potential),MHM,CVCV?V,glottalized,verb (potential),Actions and activities,,,,,
kitsiii,kītsiíì,[kī͡tsʲíì],white-nosed coati,tejón,MHL,CVCVV,modal,noun,wild animals,JGO,,,,
kitsiii mii tu'un,kītsiíì míí tú'ūn,[kī͡tsʲíì míí túˀũ],solitary white-nosed coati,tejón solitario,MHL HH HM,CVCVV CVV CV?V,multiple word types,noun,wild animals,JGO,,,,
kiuun,kiuùn,[kʲuũ̀],day before yesterday,anteayer,ML,CVV,modal,noun,times and seasons,RDC,RDC_Anteayer.wav,,,
kixa,kíxà,[kʲ̀ʃà],do (comp),hacer (comp),LL,CVCV,modal,verb (completive),Actions and activities,,,,,
kixa,kíxà,[kʲ́ʃà],do (cont),hacer (cont),HL,CVCV,modal,verb (continuative),Actions and activities,,,,,
kixa ntutsia,kíxa ntutsiǎ,[kì́ʃa ⁿtut͡sʲǎ],baptize (tr) (cont),bautisar (cont),LM MR,CVCV CVCCV,modal,verb (continuative),Actions and activities,,,check tones,"Yes, revise",
kixa ntutsia,kixa ntutsiǎ,[kiʃa ⁿtut͡sʲǎ],baptize (tr) (pot),bautisar (pot),MM MR,CVCV CVCCV,modal,verb (potential),Actions and activities,,,,,
kixaa,kìxǎá,[kìʃǎá],begin (completive),empezar (completive),LRH,CVCVV,modal,verb (completive),Actions and activities,,,,,
kixaa,kixáá,[kiʃáá],begin (continuative),empezar (continuative),MHH,CVCVV,modal,verb (continuative),Actions and activities,,,,,
kixaa,kixáá,[kiʃáá],begin (potential),empezar (potential),MHH,CVCVV,modal,verb (potential),Actions and activities,,,,,
kixaa,kìxaà,[kìʃaà],arrive (completive),llegar (completive),LML,CVCVV,modal,verb (completive),Actions and activities,,,,,
kixaa,kíxaǎ,[kíʃaǎ],arrive (continuative),llegar (continuative),HMR,CVCVV,modal,verb (continuative),Actions and activities,,,,,
kixaa,kixaà,[kiʃaà],arrive (potential),llegar (potential),MML,CVCVV,modal,verb (potential),Actions and activities,,,,,
kixi,kìxi,[kʲ̀ʃi],come (comp),venir (comp),LM,CVCV,modal,verb (completive),Actions and activities,,,,,
kixi,kixi,[kʲʃi],come (pot),venir (pot),MM,CVCV,modal,verb (potential),Actions and activities,,,,,
kixin,kìxín,[kʲʃĩn],sticky,pegajoso,LH,CCVC,modal,adjective,states of being,,pegajoso.wav,,,
ko,ko,[ko],maybe,tal vez,M,CV,modal,adverb,other,JGO,,,,
ko-ka'an,kò-ká'àn,[kò-kã́ˀã̀],does not talk,no habla,LHL,CV-CV?V,glottalized,verb,Actions and activities,,no habla.wav,,,Verb Tense
ko'ni,kò'ni,[kòˀni],scatter/throw (comp),echar (comp),LM,CV?CV,glottalized,verb (completive),Actions and activities,,,,,
ko'ni,kó'ni,[kóˀni],scatter/throw (cont),echar (cont),HM,CV?CV,glottalized,verb (continuative),Actions and activities,,,,,
ko'ni,ko'ni,[koˀni],scatter/throw (pot),echar (pot),MM,CV?CV,glottalized,verb (potential),Actions and activities,,,,,
ko'nto,kó'nto,[kóˀⁿto],hill,cerro ,HM,CV?CV,glottalized,noun,landscape and environment,NGC,cerro.wav,,,
ko'o,kó'ò,[kóˀò],lush,frondoso,HL,CVV,glottalized,adjective,landscape and environment,,frondoso.wav,,,
ko'o,ko'o,[koˀo],drink (comp),tomar (comp),MM,CV?V,glottalized,verb (completive),Actions and activities,,,,,
ko’o,kò’ǒ,[kòˀǒ],plate/bowl,plato,HR,CV?V,glottalized,noun,tools and implements,NGC,plato.wav,,,
ko'ova,kò'òvá,[kòˀòβá],woman's brother,hermano de mujer,LLH,CV?VCV,glottalized,noun,kin terms,NGC,hermanodemujer.wav,,,
